   1 	     3.0688 
   2 	    11.6859 
   3 	    20.2223 
   4 	    28.7932 
   5 	    37.3360 
   6 	    45.8929 
   7 	    54.5399 
   8 	    63.0545 
   9 	    71.6853 
  10 	    80.2139 
  11 	    88.8345 
  12 	    97.3588 
  13 	   105.9654 
  14 	   114.5563 
  15 	   123.0958 
  16 	   131.6640 
  17 	   140.1648 
  18 	   148.7323 
  19 	   157.3588 
  20 	   165.8204 
  21 	   174.5542 
  22 	   183.0971 
  23 	   191.7363 
  24 	   200.2369 
  25 	   208.9851 
  26 	   217.4168 
  27 	   225.9315 
