   2 	    47.3454 
   3 	    51.2955 
   4 	    55.9673 
   5 	    59.9961 
   6 	    64.5432 
   7 	    68.5430 
   8 	    73.1902 
   9 	    77.1899 
  10 	    81.7607 
  11 	    85.7682 
  12 	    90.4549 
  13 	    94.4613 
  14 	    99.0699 
  15 	   102.9203 
  16 	   107.6044 
  17 	   111.4207 
  18 	   116.2030 
  19 	   120.0866 
  20 	   124.8354 
  21 	   128.7243 
  22 	   133.4323 
  23 	   137.3818 
  24 	   141.9981 
  25 	   145.9641 
  26 	   150.5986 
  27 	   154.4816 
  28 	   159.2530 
  29 	   162.9973 
  30 	   167.7778 
  31 	   171.6968 
  32 	   176.4682 
  33 	   180.2167 
  34 	   185.0089 
  35 	   188.8773 
