   1 	    84.7903 
   2 	    90.0898 
   3 	    94.3727 
   4 	    97.6703 
   5 	   102.0031 
   6 	   105.3421 
   7 	   109.7271 
   8 	   113.0932 
   9 	   117.4065 
  10 	   120.8175 
  11 	   125.1168 
  12 	   128.5163 
  13 	   132.8233 
  14 	   136.3396 
  15 	   140.6647 
  16 	   144.1067 
  17 	   148.4991 
  18 	   151.9066 
  19 	   156.2462 
  20 	   159.7624 
  21 	   164.1162 
  22 	   167.6114 
  23 	   172.0322 
  24 	   175.6289 
  25 	   179.9762 
  26 	   183.5112 
  27 	   187.8749 
  28 	   191.5306 
  29 	   195.8655 
  30 	   199.4925 
  31 	   203.9282 
  32 	   207.6637 
  33 	   211.9551 
  34 	   215.7882 
  35 	   220.0383 
  36 	   223.9038 
  37 	   228.2032 
  38 	   232.0694 
  39 	   236.3545 
  40 	   240.2772 
  41 	   244.5848 
  42 	   248.4852 
  43 	   252.7728 
  44 	   256.7849 
  45 	   261.0570 
  46 	   265.0731 
  47 	   269.5060 
  48 	   273.4724 
  49 	   277.7715 
  50 	   281.8297 
  51 	   286.1703 
  52 	   290.4086 
