   1 	   101.6521 
   2 	   104.6201 
   3 	   108.9342 
   4 	   112.0859 
   5 	   116.2690 
   6 	   119.4346 
   7 	   123.6574 
   8 	   126.8337 
   9 	   131.0728 
  10 	   134.3234 
  11 	   138.5339 
  12 	   141.6887 
  13 	   145.8339 
  14 	   149.1755 
  15 	   153.3623 
  16 	   156.6637 
  17 	   160.8297 
  18 	   164.1620 
  19 	   168.3949 
  20 	   171.6661 
  21 	   175.8593 
  22 	   179.2917 
  23 	   183.4411 
  24 	   186.7992 
  25 	   191.0065 
  26 	   194.3397 
  27 	   198.6229 
  28 	   201.9898 
  29 	   206.2566 
  30 	   209.7056 
  31 	   214.0207 
